run,secret_type,family,n_samples,detection_rate,ceiling,ratio_uncapped,retention_capped
betterleaks/decode,slack_bot_token,composition,60,0.0167,1.0000,0.0167,0.0167
betterleaks/decode,slack_bot_token,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,slack_bot_token,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,slack_bot_token,encoding,630,0.8556,1.0000,0.8556,0.8556
betterleaks/decode,slack_bot_token,indirection,60,0.5000,1.0000,0.5000,0.5000
betterleaks/decode,slack_bot_token,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,slack_bot_token,splitting,150,0.1400,1.0000,0.1400,0.1400
betterleaks/decode,stripe_secret_key,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,stripe_secret_key,composition,60,0.0667,1.0000,0.0667,0.0667
betterleaks/decode,stripe_secret_key,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,stripe_secret_key,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,stripe_secret_key,encoding,630,0.8508,1.0000,0.8508,0.8508
betterleaks/decode,stripe_secret_key,indirection,60,0.4833,1.0000,0.4833,0.4833
betterleaks/decode,stripe_secret_key,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,stripe_secret_key,splitting,150,0.0867,1.0000,0.0867,0.0867
trufflehog/default,aws_access_key_id,char_format,120,0.0000,0.0000,,
trufflehog/default,aws_access_key_id,composition,60,0.0000,0.0000,,
trufflehog/default,aws_access_key_id,contextual,180,0.0000,0.0000,,
trufflehog/default,aws_access_key_id,control,90,0.0000,0.0000,,
trufflehog/default,aws_access_key_id,encoding,630,0.0952,0.0000,,
trufflehog/default,aws_access_key_id,indirection,60,0.0000,0.0000,,
trufflehog/default,aws_access_key_id,multi_encoding,270,0.0000,0.0000,,
trufflehog/default,aws_access_key_id,splitting,150,0.0000,0.0000,,
trufflehog/default,aws_keypair,char_format,120,0.0000,1.0000,0.0000,0.0000
trufflehog/default,aws_keypair,composition,60,0.0000,1.0000,0.0000,0.0000
trufflehog/default,aws_keypair,contextual,180,1.0000,1.0000,1.0000,1.0000
trufflehog/default,aws_keypair,control,90,1.0000,1.0000,1.0000,1.0000
trufflehog/default,aws_keypair,encoding,630,0.3794,1.0000,0.3794,0.3794
trufflehog/default,aws_keypair,indirection,60,0.0000,1.0000,0.0000,0.0000
trufflehog/default,aws_keypair,multi_encoding,270,0.6667,1.0000,0.6667,0.6667
trufflehog/default,aws_keypair,splitting,150,0.0000,1.0000,0.0000,0.0000
trufflehog/default,aws_secret_access_key,char_format,120,0.0000,0.0000,,
trufflehog/default,aws_secret_access_key,composition,60,0.0000,0.0000,,
trufflehog/default,aws_secret_access_key,contextual,180,0.0000,0.0000,,
trufflehog/default,aws_secret_access_key,control,90,0.0000,0.0000,,
trufflehog/default,aws_secret_access_key,encoding,630,0.0000,0.0000,,
trufflehog/default,aws_secret_access_key,indirection,60,0.0000,0.0000,,
trufflehog/default,aws_secret_access_key,multi_encoding,270,0.0000,0.0000,,
trufflehog/default,aws_secret_access_key,splitting,150,0.0000,0.0000,,
trufflehog/default,generic_hex_token,char_format,120,0.0000,0.0000,,
trufflehog/default,generic_hex_token,composition,60,0.0000,0.0000,,
trufflehog/default,generic_hex_token,contextual,180,0.0000,0.0000,,
trufflehog/default,generic_hex_token,control,90,0.0000,0.0000,,
trufflehog/default,generic_hex_token,encoding,630,0.0000,0.0000,,
trufflehog/default,generic_hex_token,indirection,60,0.0000,0.0000,,
trufflehog/default,generic_hex_token,multi_encoding,270,0.0000,0.0000,,
trufflehog/default,generic_hex_token,splitting,150,0.0000,0.0000,,
trufflehog/default,github_pat,char_format,120,0.0000,1.0000,0.0000,0.0000
trufflehog/default,github_pat,composition,60,0.0000,1.0000,0.0000,0.0000
trufflehog/default,github_pat,contextual,180,0.9833,1.0000,0.9833,0.9833
trufflehog/default,github_pat,control,90,1.0000,1.0000,1.0000,1.0000
trufflehog/default,github_pat,encoding,630,0.2841,1.0000,0.2841,0.2841
trufflehog/default,github_pat,indirection,60,0.0000,1.0000,0.0000,0.0000
trufflehog/default,github_pat,multi_encoding,270,0.6593,1.0000,0.6593,0.6593
trufflehog/default,github_pat,splitting,150,0.0000,1.0000,0.0000,0.0000
trufflehog/default,google_api_key,char_format,120,0.0000,0.0000,,
trufflehog/default,google_api_key,composition,60,0.0000,0.0000,,
trufflehog/default,google_api_key,contextual,180,0.0000,0.0000,,
trufflehog/default,google_api_key,control,90,0.0000,0.0000,,
trufflehog/default,google_api_key,encoding,630,0.0016,0.0000,,
trufflehog/default,google_api_key,indirection,60,0.0000,0.0000,,
